ID_Producto,nombre_limpio,cantidad_base,unidad_base,categoria_base
4213646,LECHE EN POLVO DESCREMADA CALO EXTRA CALCIO BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4214190,LECHE EN POLVO DESCREMADA COLUN 0% GRASA BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4223336,LECHE EN POLVO DESCREMADA COLUN BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4208631,LECHE EN POLVO DESCREMADA COLUN BOLSA 350 G UNIDAD,"350,00",g,LACTEOS
4243430,LECHE EN POLVO DESCREMADA COLUN BOLSA 400 G UNIDAD,"400,00",g,LACTEOS
4223319,LECHE EN POLVO DESCREMADA COLUN BOLSA 600 G UNIDAD,"600,00",g,LACTEOS
4208648,LECHE EN POLVO DESCREMADA COLUN BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4223523,LECHE EN POLVO DESCREMADA DAFOOD 0% GRASA BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4258611,LECHE EN POLVO DESCREMADA K KETRA BOLSA 400 G UNIDAD,,k,LACTEOS
4524207,LECHE EN POLVO DESCREMADA LONCOLECHE BOLSA 760 G UNIDAD,"760,00",g,LACTEOS
4213187,LECHE EN POLVO DESCREMADA LONCOLECHE EXTRA CALCIO BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4200658,LECHE EN POLVO DESCREMADA MACROFOOD CHILE 0% GRASA BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4200675,LECHE EN POLVO DESCREMADA MACROFOOD CHILE BOLSA 1 K UNIDAD,"1,00",k,LACTEOS
4243685,LECHE EN POLVO DESCREMADA MACROFOOD CHILE BOLSA 350 G UNIDAD,"350,00",g,LACTEOS
4319695,LECHE EN POLVO DESCREMADA NESTLE BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4319712,LECHE EN POLVO DESCREMADA NESTLE EXTRA CALCIO BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4251862,LECHE EN POLVO DESCREMADA NIDO LIGHT TARRO 1600 G UNIDAD,"1600,00",g,LACTEOS
4260141,LECHE EN POLVO DESCREMADA SIN LACTOSA COLUN BOLSA 350 G UNIDAD,"350,00",g,LACTEOS
4205826,LECHE EN POLVO DESCREMADA SIN LACTOSA LONCOLECHE BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4214938,LECHE EN POLVO DESCREMADA SIN LACTOSA MACROFOOD CHILE BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4202732,LECHE EN POLVO DESCREMADA SIN LACTOSA NESTLE BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
4211249,LECHE EN POLVO DESCREMADA SIN LACTOSA SVELTY BOLSA 350 G UNIDAD,"350,00",g,LACTEOS
4200335,LECHE EN POLVO DESCREMADA SIN LACTOSA SVELTY BOLSA 800 G UNIDAD,"800,00",g,LACTEOS
